Developer ID,Primary Strength,Date,Task Type,Task ID,System Context (What to do),Specific Focus & Deliverables,Intended UAT / Daily Goal
DEV-1,pipeline_backend,2026-03-09,DET,DET-01,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),stable detection event lifecycle and queue flow
DEV-1,pipeline_backend,2026-03-09,DET,DET-02,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),stable detection event lifecycle and queue flow
DEV-1,pipeline_backend,2026-03-09,DET,DET-03,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),stable detection event lifecycle and queue flow
DEV-1,pipeline_backend,2026-03-09,PIPE,PIPE-01,Message Queues/Workers: Handle background queue transitions and worker processes to pipe events reliably.,Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),stable detection event lifecycle and queue flow
DEV-1,pipeline_backend,2026-03-10,DET,DET-04,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),advanced detection features implemented or feature-flagged
DEV-1,pipeline_backend,2026-03-10,DET,DET-05,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),advanced detection features implemented or feature-flagged
DEV-1,pipeline_backend,2026-03-10,DET,DET-06,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),advanced detection features implemented or feature-flagged
DEV-1,pipeline_backend,2026-03-10,DET,DET-07,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),advanced detection features implemented or feature-flagged
DEV-1,pipeline_backend,2026-03-11,API,API-12,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,"Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings API + player baseline
DEV-1,pipeline_backend,2026-03-11,API,API-13,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,"Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings API + player baseline
DEV-1,pipeline_backend,2026-03-11,DNVR,DNVR-01,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings API + player baseline
DEV-1,pipeline_backend,2026-03-11,DNVR,DNVR-02,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings API + player baseline
DEV-1,pipeline_backend,2026-03-12,API,API-14,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,"Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",timeline/replay endpoints and markers
DEV-1,pipeline_backend,2026-03-12,API,API-15,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,"Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",timeline/replay endpoints and markers
DEV-1,pipeline_backend,2026-03-12,DNVR,DNVR-03,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",timeline/replay endpoints and markers
DEV-1,pipeline_backend,2026-03-12,DNVR,DNVR-04,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",timeline/replay endpoints and markers
DEV-1,pipeline_backend,2026-03-13,NOTIF,NOTIF-01,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",multi-channel dispatch routing complete
